Q96KN3	MA0783.1
P20265	MA0787.1
P20264	MA0788.1
P49335	MA0789.1
Q06416	MA0792.1
Q92786	MA0794.1
P84022	MA0795.1
Q15583	MA0796.1
Q9GZN2	MA0797.1
Q13950	MA0511.2
Q8IWI9	MA0801.1
Q96SF7	MA0803.1
O43435	MA0805.1
P57082	MA0806.1
Q99593	MA0807.1
Q99594	MA0808.1
Q92481	MA0813.1
Q92754	MA0815.1
O35885	MA0816.1
Q9BYE0	MA0822.1
Q9Y5J3	MA0823.1
Q8TAK6	MA0826.1
Q7RTU3	MA0827.1
P53567	MA0838.1
Q99853	MA0845.1
Q12948	MA0032.2
P98177	MA0848.1
A8MYZ6	MA0849.1
B7ZLG1	MA0850.1
P28702	MA0855.1
P48443	MA0856.1
P22605	MA0857.1
P22605	MA0858.1
P18911	MA0860.1
Q9H3D4	MA0525.2
P04637	MA0106.3
Q9UKD1	MA0862.1
Q14872	MA0863.1
Q01094	MA0024.3
Q9Y651	MA0866.1
P53783	MA0870.1
P05549	MA0872.1
P29776	MA0916.1
Q9VLA2	MA0917.1
Q94126	MA0922.1
P34766	MA0924.1
P13528	MA0926.1
Q93899	MA0927.1
P0CY08	MA0328.2
Q8LPN5	MA0932.1
Q8GWQ2	MA0933.1
Q6DBQ1	MA0934.1
Q8GY42	MA0935.1
Q9SQQ6	MA0936.1
Q9LDY8	MA0937.1
Q9FLR3	MA0939.1
P35631	MA0940.1
Q9FXD6	MA0946.1
Q8L9Y3	MA0947.1
Q9M276	MA0950.1
Q940J1	MA0951.1
Q9LZR0	MA0952.1
O23487	MA0957.1
Q9LNJ5	MA0958.1
Q9ZPY8	MA0959.1
Q8L467	MA0960.1
Q9FJL4	MA0963.1
Q9C7S0	MA0967.1
P92973	MA0972.1
Q9SUQ2	MA0975.1
Q9ZPY0	MA0977.1
Q9SGJ6	MA0978.1
Q8LFR2	MA0986.1
O23661	MA1009.1
Q9AT76	MA1012.1
Q8VZP4	MA1013.1
Q6DBP8	MA1014.1
Q9FX53	MA1020.1
Q9FJV5	MA1028.1
Q75HX9	MA1033.1
Q75K84	MA1034.1
Q8LPR5	MA1035.1
Q9FJ07	MA1036.1
Q9SZP1	MA1039.1
Q9LXV2	MA1040.1
Q9M118	MA1041.1
Q4JL84	MA1042.1
F4JN35	MA1046.1
Q9S7L5	MA1048.1
A2X7K8	MA1050.1
P42736	MA1051.1
Q9SZ06	MA1053.1
Q9LQF0	MA1066.1
Q9FME3	MA1067.1
Q93WY4	MA1075.1
O22900	MA1080.1
Q8GWF1	MA1084.1
Q9LZV6	MA1091.1
D7MRK3	MA1095.1
D7MUG0	MA1096.1
D7MCT1	MA1097.1
D7LRC3	MA1098.1
P17028	MA1124.1
Q8NAM6	MA1155.1
P05412	MA1127.1
P53539	MA1127.1
P05412	MA1129.1
P15407	MA1129.1
P17275	MA1136.1
P53539	MA1136.1
Q9LUI3	MA1161.1
F4JIF5	MA1162.1
Q9SEZ4	MA1169.1
Q9SEZ4	MA1188.1
A2RVQ5	MA1199.1
Q9C960	MA1202.1
Q9SA07	MA1203.1
Q38837	MA1204.1
P29386	MA1205.1
Q7G1L2	MA1221.1
Q9LPE8	MA1222.1
O80341	MA1225.1
Q6J9N8	MA1235.1
Q9SVX5	MA1242.1
Q9M2U1	MA1274.1
Q9LEZ9	MA1290.1
Q9FMX2	MA1291.1
Q9ZQ70	MA1309.1
Q9ZPX0	MA1324.1
Q8LFD3	MA1328.1
Q39162	MA1335.1
Q9FMC2	MA1339.1
Q93XM6	MA1348.1
Q9LW45	MA1350.1
Q8L7L8	MA1352.1
Q700D7	MA1354.1
Q9SNB9	MA1356.1
Q8S3D5	MA1363.1
Q9SCQ6	MA1373.1
Q52QU2	MA1378.1
Q9M9H7	MA1379.1
Q9SL70	MA1380.1
Q9SJW0	MA1384.1
Q8L999	MA1402.1
F4JUI3	MA1403.1
Q9SKD0	MA1404.1
Q13568	MA1420.1
Q9HCS4	MA1421.1
Q7SE02	MA1434.1
A8XJP7	MA1440.1
Q9GZ03	MA1442.1
G5EE18	MA1445.1
G5ECG2	MA1448.1
P41829	MA1451.1
Q8N100	MA1468.1
Q96RJ6	MA1485.1
O00409	MA1489.1
Q96HZ4	MA1493.1
O14896	MA1509.1
P10589	MA1538.1
P10588	MA1539.1
P28702	MA1555.1
P48443	MA1556.1
Q99717	MA1557.1
Q01664	MA1570.1
Q8IUE1	MA1571.1
Q8IUE0	MA1572.1
Q9Y2Y4	MA1580.1
P52742	MA1587.1
P52737	MA1588.1
Q96SR6	MA1594.1
Q14592	MA1596.1
Q3MIS6	MA1597.1
P20719	MA0158.2
P31249	MA0912.2
Q92886	MA0623.2
P14653	MA2093.1
Q06710	MA2094.1
P40646	MA2095.1
Q96C55	MA2096.1
Q96C28	MA1715.1
Q96N20	MA2097.1
Q5HY98	MA2098.1
Q6IQ21	MA2099.1
P17098	MA1718.1
Q9H4T2	MA2100.1
Q86XU0	MA2101.1
Q9LFQ9	MA1732.1
Q61575	MA1684.1
D9HNU0	MA1686.1
D9HNU1	MA1687.1
Q8IGP5	MA1700.1
Q13105	MA2102.1
A0JQ66	MA1734.1
Q9CA52	MA1738.1
Q9SV87	MA1741.1
Q9LNE0	MA1746.1
Q9FV70	MA1749.1
Q8LSZ4	MA1750.1
Q1PDN3	MA1760.1
O81914	MA1783.1
Q9LQK5	MA1784.1
Q9FRV4	MA1788.1
O49697	MA1789.1
O49459	MA1790.1
Q9FK44	MA1791.1
O04017	MA1792.1
Q9SK03	MA1796.1
P82280	MA1797.1
Q9C6M5	MA1800.1
Q9M0P7	MA2103.1
Q9LRW7	MA2104.1
K7M309	MA2105.1
C4JBG6	MA1818.1
B4FLJ6	MA2106.1
Q7KHK4	MA2107.1
Q9VDZ3	MA2108.1
Q4H3E7	MA1876.1
Q4H3P5	MA2109.1
Q4H3T1	MA2110.1
Q4H3D5	MA2111.1
Q4H374	MA2112.1
Q4H2Z3	MA2113.1
Q4H2Y9	MA2114.1
Q4H2Y8	MA2115.1
Q4H2X8	MA2116.1
P19419	MA1931.1
P49639	MA1931.1
P14652	MA1957.1
P19419	MA1957.1
P14859	MA1962.1
P48431	MA1962.1
Q9HCL3	MA1972.1
Q8TF45	MA1980.1
Q96BR6	MA1985.1
Q8IVH2	MA2117.1
O43638	MA2118.1
O43365	MA2119.1
Q99676	MA2120.1
O14771	MA2121.1
Q8K4J2	MA2122.1
O96004	MA2123.1
P17096	MA2124.1
G3X9G7	MA2125.1
E9Q4R5	MA2126.1
P08047	MA0079.5
P48743	MA0509.3
Q02086	MA0516.3
Q7RTS1	MA0607.2
Q02446	MA0685.2
Q8TD94	MA0740.2
Q9Y4X4	MA0742.2
P48380	MA0798.3
Q8NFJ8	MA0818.2
Q5TA89	MA0821.2
P19532	MA0831.3
P47902	MA0878.3
A6NLW8	MA0884.2
Q13118	MA1511.2
Q14995	MA1532.2
Q99697	MA1547.2
P35713	MA1563.2
Q9JJD0	MA1573.2
P51815	MA1601.2
O14867	MA1633.2
Q21361	MA2127.1
P41934	MA2128.1
P34663	MA2129.1
G5EEJ1	MA2130.1
G5ED14	MA2131.1
Q18250	MA2132.1
